place_icon_image,place_id,acommodation_name_concatenated,name,rating,formatted_address,geometry_location_lat,geometry_location_lng,acommodation_type,lokasi,lokasi_kecamatan,lokasi_kota,rate_level,rating.1,num_of_reviews,price_per_night,level_price
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002237-740x643-FIT_AND_TRIM-400ed828a7330056542af471d1b174a2.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJsXvFavn1aS4RouBws_W9hFI,"Zuri Express Hotel Mangga Dua Mangga Dua, Jakarta",Zuri Express Mangga Dua,4.6,"Jl. Mangga Dua Dalam No.55, RT.6/RW.7, South Mangga Dua, Sawah Besar, Central Jakarta City, Jakarta 10730, Indonesia",-6.1393174,106.8252008,Hotels,"Mangga Dua, Jakarta",Mangga Dua,Jakarta,Impressive,8.6,7758,"318,998",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001173-2424x1616-FIT_AND_TRIM-e84729e2efdc2597ea72a12ec711cdb9.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJOUvgaBH71y0RUP1yzpoSNGY,"ZOOM Hotel Jemursari Wonocolo, Surabaya",Zoom Hotel Jemursari Surabaya,4.2,"Jl. Raya Jemursari Blk. B-C No.109, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237, Indonesia",-7.3207986,112.7455455,Hotels,"Wonocolo, Surabaya",Wonocolo,Surabaya,Convenient,8.2,5137,"339,999",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10041731-d7927c913d91d1110934d7b7c151eaec.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJdXR1Gir61y0RQxfa0Wn2bWY,"ZOOM Dharmahusada Hotel Gubeng, Surabaya",Zoom Hotel Dharmahusada,4.4,"Jl. Dharmahusada No.188, Mojo, Gubeng, Surabaya, East Java 60285, Indonesia",-7.268797,112.7733352,Hotels,"Gubeng, Surabaya",Gubeng,Surabaya,Impressive,8.5,2757,"429,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20045608-65c8da89c5a078a5bcc364cc08606acb.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ77lN5lbnaC4R82qzMDM94tc,"Zoe Guest House Pasteur, Bandung",Zoe Guest House Hotel Bandung,4.8,"Jl. Surya Sumantri No.112 - 113, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40163, Indonesia",-6.8826869,107.581932,Hotels,"Pasteur, Bandung",Pasteur,Bandung,Impressive,8.6,89,"471,900",1
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67857805-9e80e7a0e1413edf69f993b77976db6d.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJOz-PNkb1aS4Rfp5uImIRETo,"Zia Sanno Menteng Residences - Jakarta Menteng, Jakarta",ZIA Sanno Menteng Residences,4.6,"Jl. Pegangsaan Barat No.2, RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",-6.1972423,106.8396631,Hotels,"Menteng, Jakarta",Menteng,Jakarta,Impressive,8.7,43,"447,700",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10004706-ed37327b4dd8c0c050bc6af3ff6f2cf2.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJp2E1-wP71y0Rq6NacntlXCY,"Zest Hotel Jemursari Tenggilis Mejoyo, Surabaya",Zest Jemursari Surabaya by Swiss-Belhotel International,4.3,"Jl. Raya Prapen No.266, Panjang Jiwo, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60299, Indonesia",-7.3119629,112.7576847,Hotels,"Tenggilis Mejoyo, Surabaya",Tenggilis Mejoyo,Surabaya,Impressive,8.4,11063,"299,999",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20007376-4505f4e55cb38235f1b0296dc05c16ec.jpeg?_src=imagekit&tr=h-176,q-40,w-135",ChIJSZ_V-8T1aS4R9FlUE9O9mPk,"Yuan Garden Pasar Baru Pasar Baru, Jakarta",YUAN GARDEN Pasar Baru,4.4,"Jl. Pintu Air V No.53, RW.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",-6.1630706,106.8323,Hotels,"Pasar Baru, Jakarta",Pasar Baru,Jakarta,Impressive,8.5,3533,"959,780",2
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20045088-dd96a413427c76c6cb41397ffe85e228.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJww_i8rLnaC4R83Ta37V3YWs,"Yokotel Net Pasirkaliki, Bandung",YOKOTEL NET,4.4,"3HMV+M3V, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182, Indonesia",-6.9158535,107.5926843,Hotels,"Pasirkaliki, Bandung",Pasirkaliki,Bandung,Impressive,8.6,568,"445,500",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20007364-d904df31c08a51b710280385025134c1.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJoXfn6VjDaC4RkutIM_uitwg,"Yokotel Hotel Jatinangor Jatinangor, Bandung",YOKOTEL HOTEL JATINANGOR,4.2,"Jl. Raya Cibeusi No.39, Cibeusi, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363, Indonesia",-6.9365572,107.7616246,Hotels,"Jatinangor, Bandung",Jatinangor,Bandung,Impressive,8.4,519,"495,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20033707-faaa66188d00ed651587ce9404cce7ee.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJh9yflV7naC4RMRlfdyKSj1M,"Yokotel City Pasirkaliki, Bandung",YOKOTEL CITY,4.7,"Jl. Dr. Rajiman No.3, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia",-6.9037824,107.5981539,Hotels,"Pasirkaliki, Bandung",Pasirkaliki,Bandung,Impressive,8.9,659,"502,920",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/67712393-3936x2627-FIT_AND_TRIM-5e43487083293ef180295663b3785a74.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJITn9ITpYei4Re8T9bmnvHko,"Yobel Hotel Jetis, Yogyakarta",Yobel Hotel,4.7,"Region of, Jalan Pakuningratan No.24, Cokrodiningratan, Yogyakarta City, Special, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia",-7.7808366,110.3651413,Hotels,"Jetis, Yogyakarta",Jetis,Yogyakarta,Impressive,8.8,150,"462,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10008560-3582x3817-FIT_AND_TRIM-5d46218d78ab8ddfa18a31e626006954.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJzfmJebdZei4RYFxm6Rr6e5Y,"Yellow Star Gejayan Hotel Gejayan, Yogyakarta",Yellow Star Hotel - Gejayan,4.3,"Jl. Affandi No.27, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7712169,110.3897545,Hotels,"Gejayan, Yogyakarta",Gejayan,Yogyakarta,Impressive,8.5,9449,"598,000",2
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20017547-7e82ebeb225ddf29ad1357b74e3aadeb.png?_src=imagekit&tr=h-176,q-40,w-300",ChIJH3ZGni_1aS4RMUMSAxtl2oY,"Yellow Bee Tanah Abang Tanah Abang, Jakarta",Yellow Bee Tanah Abang Jakarta,4.5,"Jl. K.H. Wahid Hasyim No.204, RT.7/RW.7, Kp. Bali, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10250, Indonesia",-6.1868948,106.8180245,Hotels,"Tanah Abang, Jakarta",Tanah Abang,Jakarta,Impressive,8.3,1489,"412,710",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20009559-2f775ca2aa6164730b8a348cccc36fa1.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ3c9-QxbmaC4RxJq6ozALOSQ,"YELLO Hotel Paskal Bandung Pasirkaliki, Bandung",YELLO Hotel Paskal - Bandung,4.5,"Paskal Hyper Square, Jl. Pasir Kaliki No.25, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181, Indonesia",-6.9155535,107.5951156,Hotels,"Pasirkaliki, Bandung",Pasirkaliki,Bandung,Impressive,8.7,5121,"720,100",2
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10005135-ec5f9a80b949b9743bff2bc0016b1bda.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ5wgOYBD71y0RoTkTfd5QAWg,"Yello Hotel Jemursari Tenggilis Mejoyo, Surabaya",Yello Hotel Jemursari,4.4,"Jl. Raya Jemursari No.176, Kendangsari, Kec. Tenggilis Mejoyo, Surabaya, Jawa Timur 60292, Indonesia",-7.3193635,112.7493842,Hotels,"Tenggilis Mejoyo, Surabaya",Tenggilis Mejoyo,Surabaya,Impressive,8.5,4577,"468,000",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10028304-6912cadae1a4dc6145496cb24f3dea0d.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJW5b4Utj1aS4R0cjpgYUQazs,"Yello Hotel Harmoni Harmoni, Jakarta",YELLO Hotel Harmoni Jakarta,4.5,"Jl. Hayam Wuruk No.6, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia",-6.1642263,106.8212576,Hotels,"Harmoni, Jakarta",Harmoni,Jakarta,Impressive,8.8,11445,"601,800",2
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10034483-2131x1421-FIT_AND_TRIM-8c4e069e56b2e31f873557f505f632aa.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJ5Z4YG-5Xei4RuFgM2bJwoYM,"YATS Colony Wirobrajan, Yogyakarta",YATS.Colony,4.6,"Jl. Patangpuluhan No.23, Patangpuluhan, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55251, Indonesia",-7.8078013,110.3478114,Hotels,"Wirobrajan, Yogyakarta",Wirobrajan,Yogyakarta,Impressive,8.9,3949,"715,000",2
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10041546-a6023715aed3cac98d2f1768d98f3873.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJjyMphd_71y0RAonj38TvDFc,"Wyndham Surabaya Genteng, Surabaya",Wyndham Hotel,4.5,"Jl. Basuki Rahmat No.67 - 73, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271, Indonesia",-7.2677016,112.7417081,Hotels,"Genteng, Surabaya",Genteng,Surabaya,Impressive,8.7,6471,"1,084,999",3
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20016951-8009992060d6cdcb7ea2b6f3fbbe7c1a.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJsfKgMQjzaS4Rwdpc9Q-u5XA,"Wyndham Casablanca Jakarta Casablanca, Jakarta",Wyndham Casablanca Jakarta,4.6,"Jl. Raya Casablanca No.18, RT.4/RW.12, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia",-6.2244339,106.8398476,Hotels,"Casablanca, Jakarta",Casablanca,Jakarta,Impressive,8.8,3889,"1,104,126",3
"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67805225-086fcdab08f28637583fcdbfd74c9997.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJY6Eb3dPhaC4R6ezvh6fLWNg,"Wulan Cottage by Maharani Lembang, Bandung",Wulan Cottage by Maharani,4.9,"Jl. Lapang, Cibogo, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",-6.8107785,107.6513272,Villas,"Lembang, Bandung",Lembang,Bandung,Impressive,9.0,26,"2,304,830",3
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20030434-2268dd828fd46b3c4007f4c793343427.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJT9xpZ63zaS4Rl0-9gYHDlyY,"Woodland Park Residence-Relaxed Friendly Kalibata, Jakarta",Woodland Park Residence,4.6,"Jl. Raya Kalibata No.22, RT.6/RW.7, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750, Indonesia",-6.255376,106.856431,Apartments,"Kalibata, Jakarta",Kalibata,Jakarta,Impressive,8.6,78,"462,500",1
"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20035471-a35241a8cbf96e5ba1872faa9bd51957.jpeg?_src=imagekit&tr=h-176,q-40,w-300",ChIJUVaItDNXei4R6Qo9XfzSPuU,"Wonderloft Hostel Jogja Mantrijeron, Yogyakarta",Wonderloft Hostel,4.7,"Jl. Tirtodipuran No.47, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143, Indonesia",-7.81847,110.3657573,Hostels,"Mantrijeron, Yogyakarta",Mantrijeron,Yogyakarta,Impressive,8.8,269,"104,400",1
