place_id,link_restaurant,place_name,place_name_concatenated,name,rating,formatted_address,geometry_location_lat,geometry_location_lng,lokasi_kota,tipe_makanan,level_price,rating_five,rating_ten,cost_range_min,cost_range_max
ChIJ_____75Zei4RLQmfSTZnW3k,https://www.tripadvisor.com/Restaurant_Review-g2304080-d3802453-Reviews-Ledre_Cafe-Sleman_Sleman_District_Yogyakarta_Region_Java.html,Ledre Cafe Sleman,Ledre Cafe Sleman Yogyakarta,Lodse Kopi,4.7,"Jl. Cempaka No.34, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7640476,110.390544,Yogyakarta,"Asian, Indonesian",1,4.0,8.0,20000,50000
ChIJ___vOJLnaC4RjpHUQUe2VcY,https://pergikuliner.com/restaurants/bandung/mama-mimi-ahmad-yani,Mama Mimi Ahmad Yani,Mama Mimi Ahmad Yani  Bandung,Mamamimi,4.2,"Jl. A. Yani No.909, Cibeunying, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192, Indonesia",-6.9019239,107.6550589,Bandung,Kafe,1,3.87,7.74,20000,50000
ChIJ_3F8z3z71y0Rfve5q1MHEvo,https://pergikuliner.com/restaurants/surabaya/de-mier-wonokromo,De Mier Wonokromo,De Mier Wonokromo  Surabaya,De Mier - Eat & Stay,4.7,"Jl. Jambi No.35, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241, Indonesia",-7.291427,112.732828,Surabaya,Kafe,2,4.32,8.64,50000,100000
ChIJ_4ry3yLzaS4Rbr9fqzpOW6Q,https://pergikuliner.com/restaurants/jakarta/etera-tebet,Etera Tebet,Etera Tebet  Jakarta,etera,4.5,"Jl. Tebet Raya No.73, Tebet Tim., Kec. Tebet, Jakarta, Daerah Khusus Ibukota Jakarta 12820, Indonesia",-6.2275931,106.8566146,Jakarta,Kafe,2,4.2,8.4,50000,100000
ChIJ_6NY_UNYei4RVApGpgvWjKE,https://www.tripadvisor.com/Restaurant_Review-g2304080-d12078685-Reviews-Ikan_Bakar_Katombo-Sleman_Sleman_District_Yogyakarta_Region_Java.html,Ikan Bakar Katombo Sleman,Ikan Bakar Katombo Sleman Yogyakarta,Katombo Ikan Bakar Khas Sulawesi,4.6,"Jl. Rogoyudan 1 No.8, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.7707012,110.3599725,Yogyakarta,"Asian, Indonesian",2,4.0,8.0,50000,100000
ChIJ_87--y31aS4RsnMkRyxJzuU,https://pergikuliner.com/restaurants/jakarta/juni-bar-dan-lounge-cikini,Juni Bar & Lounge Cikini,Juni Bar & Lounge Cikini  Jakarta,JUNI Bar & Lounge,4.7,"Jl. Cikini Raya No.16, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia",-6.1892336,106.8370071,Jakarta,Barat,3,4.09,8.18,100000,200000
ChIJ_99Dk3n51y0RSQ1kM3VdI-A,https://pergikuliner.com/restaurants/surabaya/martabak-terang-bulan-istimewa-abdul-kadir-tambaksari,Martabak Terang Bulan Istimewa Abdul Kadir Tambaksari,Martabak Terang Bulan Istimewa Abdul Kadir Tambaksari  Surabaya,Abdul Khadir Martabak Dan Terang Bulan Istimewa,4.8,"PQV5+25X, Jl. Kalasan, Pacar Keling, Kec. Tambaksari, Surabaya, Jawa Timur 60131, Indonesia",-7.2574192,112.7580381,Surabaya,Indonesia,1,4.13,8.26,20000,50000
ChIJ_bllxzvhaC4RVaPWL_XntdI,https://pergikuliner.com/restaurants/bandung/d-secret-lesehan-emak-lembang,D'secret Lesehan Emak Lembang,D'secret Lesehan Emak Lembang  Bandung,D'secret Lesehan Emak (cendol Durian Runtuh),3.9,"Jl. Raya Lembang No.75, Gudangkahuripan, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",-6.8323025,107.6051789,Bandung,Indonesia,1,4.07,8.14,20000,50000
ChIJ_c43CITzaS4RRCdv_PeD1mo,https://pergikuliner.com/restaurants/jakarta/the-people-s-cafe-kuningan,The People's Cafe Kuningan,The People's Cafe Kuningan  Jakarta,The People’s Cafe - Kuningan City,3.1,"Jl. Prof. DR. Satrio No.18, RT.14/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",-6.2247749,106.8292051,Jakarta,Kafe,3,4.2,8.4,100000,200000
ChIJ_chP41351y0RwBPG51Opm4M,https://pergikuliner.com/restaurants/surabaya/cafe-bromo-sheraton-surabaya-hotel-dan-towers-tegalsari,Cafe Bromo - Sheraton Surabaya Hotel & Towers Tegalsari,Cafe Bromo - Sheraton Surabaya Hotel & Towers Tegalsari Surabaya,Kafe Bromo,4.5,"Hotel & Towers, Sheraton Surabaya, Jl. Embong Malang No.25-31, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261, Indonesia",-7.2632019,112.7382208,Surabaya,Barat,3,4.85,9.7,100000,200000
