place_id,Place_Name,Description,Category,City,Price,LevelPrice,Rating,Lat,Long,features,index,cost_range_min,cost_range_max,photo_references,image_link,formatted_address
ChIJ51Oh3I7x2TERURREZrMRi7M,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 – 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.
",Bahari,Jakarta,900000,4,4.8,-5.587055,106.5885,pulau pelangi bahari jakarta pulau pelangi pulau terletak kepulauan seribu daerah ibukota jakarta indonesia pulau pelangi pulau terletak kepulauan seribu daerah ibukota jakarta indonesia pulau pelangi  pulau petondan  pelangi island  pulau resort sesuai berlibur pulau resort konsep natural wilayahnya penuhi rerimbunan pohon menyejukan keindahan alam lautnya layak dikunjungi dikelilingi rimbunan pohon laut berwarana biru jernih suasanan sejuk nyaman kondisi ideal wisata keluarga akomodasi menghadap laut turis betah berlama-lama pulau pelanginmenurut informasi pulau pelangi pulau petondan pulau gugusan kepulauan seribu administratif wilayah kabupaten administratif kepulauan seribu provinsi dki jakarta bersamaan pulau petondan resort berlibur letaknya berdekatan gugusan pulau kelor pulau kelapanuntuk mencapai pelangi resort dibutuhkan waktu 9 menit perjalanan dermaga pantai mutiara kapal speedboat pier pantai mutiara membawa penumpang kesana letaknya    km pantai mutiara lumayan perjalanan terbayar lunas pulau pelangi,0,100000,500000,AZose0kHclk8mQf-Qi-3NKMzhcD-LkubvFLJPsdRoXsNe91go3J5PPRF95yQEJfr9Yieln-8p5If0WaHnjHHuW5bNTs6p1nCOjWAq3txiOJ9jcQFqYL7b2RZwfgPwLINCzhtFqaOYSBDGx7F2fDDryrq-_SWKaRB3szW8YDVjVsUrxqT-vlY,https://lh3.googleusercontent.com/places/ANJU3Dt4tFMfCpBoRkK1znRbXrXvqgiCkI18nVHhYdFsFkQph5sR_JkYQINFJ6XBaLETXewK48PhattngJeaShgUOzAiSSd3zbfkiqA=s1600-w1600-h1600,"Pelangi Island, Kasu, Belakang Padang, Batam City, Riau Islands, Indonesia"
ChIJF9c0zh-0ey4Rzly9n2_L__k,Goa Jomblang,"Gua Jomblang merupakan gua vertikal yang bertipe collapse doline. Gua ini terbentuk akibat proses geologi amblasnya tanah beserta vegetasi yang ada di atasnya ke dasar bumi yang terjadi ribuan tahun lalu. Runtuhan ini membentuk sinkhole atau sumuran yang dalam bahasa Jawa dikenal dengan istilah luweng. Itulah yang membuat unik karena di dalam gua terdapat luas mulut gua sekitar 50 meter ini sering disebut dengan nama Luweng Jomblang. Gua Jomblang terletak di Kabupaten Gunungkidul, DI Yogyakarta.\nSaat ini Gua Jomblang merupakan tempat konservasi tumbuhan purba dan dikembangkan menjadi tempat wisata minat khusus yang mana dikelola oleh penduduk atau warga setempat. Untuk menuruni gua vertikal ini pihak pengelola sudah menyediakan perlengkapan lengkap sesuai standar keselamatan caving di gua vertikal.\nSinar matahari yang menerobos masuk dari Luweng Grubug setinggi 90 meter membentuk satu tiang cahaya, menyinari flowstone yang indah serta kedalaman gua yang gelap gulita. Air yang menetes dari ketinggian turut mempercantik pemandangan. Tidak salah\njika banyak orang terkagum-kagum datang ke sini ketika menyaksikan lukisan alam yang dikenal dengan istilah ""cahaya surga"".",Cagar Alam,Yogyakarta,500000,4,4.6,-8.0281562,110.6383307,goa jomblang cagar alam yogyakarta gua jomblang gua vertikal bertipe collapse doline gua terbentuk akibat proses geologi amblasnya tanah beserta vegetasi atasnya dasar bumi ribuan tahun runtuhan membentuk sinkhole sumuran bahasa jawa dikenal istilah luweng unik gua luas mulut gua  meter nama luweng jomblang gua jomblang terletak kabupaten gunungkidul yogyakartansaat gua jomblang konservasi tumbuhan purba dikembangkan wisata minat dikelola penduduk warga menuruni gua vertikal pengelola menyediakan perlengkapan lengkap sesuai standar keselamatan caving gua vertikalnsinar matahari menerobos luweng grubug 9 meter membentuk tiang cahaya menyinari flowstone indah kedalaman gua gelap gulita air menetes ketinggian mempercantik pemandangan salahnjika terkagum-kagum menyaksikan lukisan alam dikenal istilah cahaya surga,1,100000,500000,AZose0k6kyzD_xb-YyE66DnKcADwZQb8km6nuaq3yW6QFZjmVCkCgP7BevX1nY7TySIGiixn14JMuNtk3EpcWOmxtEIawwjuPOA0sIgtfpLFn57cqiE9RBra-Ww1Wn3ifHG0Vsr0Dfg1ibcG_cdrLKNt91Vc7vAzl8Aonl2PPpx6S_K7nPpx,https://lh3.googleusercontent.com/places/ANJU3DvgizM4BRfOia6-8KU4jqlVY-dVG-y-FjN8DQ76Jq8QQ0Q3xMPft0txKYlOuZbv79MZP8DpoMSntznM_vp8ZTul-H9i9U6NvgM=s1600-w499-h400,"Jetis, Pacarejo, Kec. Semanu, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55893, Indonesia"
ChIJzVavwz_naC4RgIoBS7Us434,Mountain View Golf Club,"Selamat Datang di Mountain View Golf Club Dago Pakar Bandung. Golf Course dengan 72 par, 18 hole telah dirancang oleh Juara dunia 5 kali asal Inggris Peter Thompson dan tentu saja achitect terkenal Ross Peret, terletak di dalam kompleks perumahan bergengsi hanya 30 menit dari bandara internasional Bandung atau 20 menit dari pusat kota. Pegolf dan pengunjung yang duduk di barisan depan akan disajikan pemandangan dari Club House dan lapangan golf di pegunungan dekat dengan kota Bandung. Dilengkapi fasilitas kelas dunia, lengkap dengan kamar Vip, Ruang Pijat, Loker mewah untuk pria dan wanita, Champions Bar, Restoran dan Toko Golf yang berdekatan dengan pintu masuk lobi.",Cagar Alam,Bandung,375000,4,4.4,-6.8629384,107.6482191,mountain view golf club cagar alam bandung selamat mountain view golf club dago pakar bandung golf course  par  hole dirancang juara dunia  inggris peter thompson achitect terkenal ross peret terletak kompleks perumahan bergengsi  menit bandara internasional bandung  menit pusat kota pegolf pengunjung duduk barisan disajikan pemandangan club house lapangan golf pegunungan kota bandung dilengkapi fasilitas kelas dunia lengkap kamar vip ruang pijat loker mewah pria wanita champions bar restoran toko golf berdekatan pintu lobi,2,100000,500000,AZose0mp8n9dopKYMPS3cXm5k2EypnHuTy0XQhx-QxivecG-CBCcRW9ETOZvaf29a0a2AH-nQZFJiTH-LRtECgL_QCpBM7N7ABES0S1CnidiwZBNU9PuGPm3g7rEV3gFf2aGi47YnxuUKkB3EDCM4zAxmU9OyfxQ0Gym1olpg8dpYKwzZjwC,https://lh3.googleusercontent.com/places/ANJU3DsaS4DBY8cO2AZ2QiIHVu791MwXOeVQcv4jJY0Dn_u49wM8tF2heqJ7xlWFMJcpZ9J5EYLZgP6bmADwlymuW6xv7o9yllJIsdw=s1600-w1600-h1600,"Jl. Sentra Dago Pakar Raya, Mekarsaluyu, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198, Indonesia"
ChIJAXQBwRUdai4RcJnL67AjXRs,Waterboom PIK (Pantai Indah Kapuk),"Waterbom Jakarta merupakan sebuah wahana permainan air yang cukup populer di kawasan Pantai Indah Kapuk (PIK), Jakarta Utara. Harga tiket masuk Waterboom PIK tidak terlalu menguras kantong, hanya Rp 100 ribu per orang saat weekday atau Rp 200 ribu saat weekend. Waterboom PIK menjadi objek wisata favorit saat liburan karena menawarkan fasilitas memadai dan memiliki wahana permainan air yang terbilang lengkap.",Taman Hiburan,Jakarta,300000,4,4.4,-6.1136559,106.7478596,waterboom pik pantai indah kapuk taman hiburan jakarta waterbom jakarta wahana permainan air populer kawasan pantai indah kapuk pik jakarta utara harga tiket waterboom pik menguras kantong rp  ribu weekday rp  ribu weekend waterboom pik objek wisata favorit liburan menawarkan fasilitas memadai memiliki wahana permainan air terbilang lengkap,3,100000,500000,AZose0kw4rGXaati_giTNlWSu5uaZc2AVZOWZwFX_vUF_H2yjjKw-2S2cFrRWh659m12mkGGTGLE2uVXZJ3iuVrewbeYxeeM1wxt4JwCQjon81dWjhf93d4mcVsXeSP0zOUN40LR3wDIrHNbKx9dI-BXjyLawmzRVxLl8FUv4yuv6WL8I5r0,https://lh3.googleusercontent.com/places/ANJU3DvWoKrBCmyw02WDtnm6JQ7JeGem6dEYA-1o5JKDkUM-vpNpzcvojAF4qYRC7auqVEErVO_dR6ntenI1Dbt9gpjgXDgOubUSh_A=s1600-w554-h554,"7, Jl. Pantai Indah Kapuk Jl. Pantai Indah Barat No.1, RW.2, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470, Indonesia"
ChIJm1ErfNjnaC4R7c1ap-_FYE0,Trans Studio Bandung,"Trans Studio Bandung adalah kawasan wisata terpadu di Kota Bandung, Indonesia. Trans Studio dibangun pada areal seluas 4,2 hektare dengan investasi mencapai Rp 2 triliun sehingga menjadikan sebagai kawasan hiburan terluas dan terlengkap di Bandung. Wahana yang terdapat menawarkan petualangan dan sensasi baru yang tidak kalah menantang seperti pendahulunya yaitu Trans Studio Resort Makassar yang dibuka pada tahun 2009. Trans Studio Bandung dibuka untuk umum pada tanggal 18 Juni 2011. Trans Studio Bandung adalah taman bermain yang paling komplet di kota Bandung",Taman Hiburan,Bandung,280000,4,4.5,-6.9250943,107.6364944,trans studio bandung taman hiburan bandung trans studio bandung kawasan wisata terpadu kota bandung indonesia trans studio dibangun areal seluas  hektare investasi mencapai rp  triliun menjadikan kawasan hiburan terluas terlengkap bandung wahana menawarkan petualangan sensasi kalah menantang pendahulunya trans studio resort makassar dibuka tahun 9 trans studio bandung dibuka umum tanggal  juni  trans studio bandung taman bermain komplet kota bandung,4,100000,500000,AZose0k8jVS12pUJrVYIgdH88kDOZv0WS4yPu9BlCHnSrA-NFY-Eo9Zmr78tck0Sxz-6WAqTX8Hk6X-_cvFW-9V7PxQPHrmcVhCK7t6fpn4ClE5l4VVDe9cn2VqyeaIAgJztzgY78ThkovOpqEg9pfO5nhXPSQjEPPuELmRhqYpD1GGv8XcO,https://lh3.googleusercontent.com/places/ANJU3Dvy84CNXVJgxrJKc3Z-JOH1SU3idtlTZRo-sjRUAuAikvjfq5LfTFyxGc49qa263J4GYem3uqiu218rnNFWjmpD6FzMgCVNOek=s1600-w900-h600,"Trans Studio Mall, Jl. Gatot Subroto No.289A, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273, Indonesia"
ChIJVwxCgBoeai4R4zIiPSWTWyc,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,270000,4,4.6,-6.1253124,106.8335377,dunia fantasi taman hiburan jakarta dunia fantasi dufan hiburan terletak kawasan taman impian jaya ancol jakarta utara indonesia dufan diresmikan dibuka tanggal 9 agustus 9,5,100000,500000,AZose0n0Dey_NfUltcdEvHJ2hjG079tHM7_k9_gTBcfZJ4lcPSyf_lP4OSSJW01AHOr4skWFSsVgnSSUMzeLz0N4VGbWzjIwlshqz96tWhpOXOIDClAVU0XqKOJ1Mn0Pui5RuyC6sIQkd-FQ1yKyJqZybIh3j33d67crkCdkETBtgCiJAWKO,https://lh3.googleusercontent.com/places/ANJU3DtxhKwFw6zOSp5KgJxop1hmMCmEcUbnOSoEkK0kdStZV2fbRobsujH4h9LEskln5yg2qdq7Mbg7G-_TcH4hRnD7bLXdVgefdP4=s1600-w1080-h724,"Jl. Lodan Timur No.7, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia"
ChIJI9CVSbKsey4RonSXXmzCrpU,Bukit Panguk Kediwung,"Bukit Panguk Kediwung adalah salah satu obyek wisata yang menawarkan pemandangan alam dari ketinggian. Jika dibandingkan dengan obyek wisata perbukitan lain di Bantul memang Bukit Panguk Kediwung termasuk baru karena dibuka pada tahun 2016. Namun jangan salah, lokasi ini sudah mencuri hati banyak pengunjung dari dalam maupun luar kota. Bukit Panguk Kediwung berlokasi di Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk. Kurang lebih berjarak 20 km dari pusat Kota Yogyakarta. Dari pusat Kota Yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah Jalan Imogiri Timur, ikuti jalan hingga menemukan Pasar Imogiri, lalu belok kiri dan lanjutkan perjalanan menuju ke arah Dlingo, dari sana anda akan mulai melihat petunjuk jalan menuju Bukit Panguk Kediwung. Akses jalan menuju Bukit Panguk Kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman. Sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit.",Budaya,Yogyakarta,250000,4,4.5,-7.9583695,110.4407622,bukit panguk kediwung budaya yogyakarta bukit panguk kediwung salah obyek wisata menawarkan pemandangan alam ketinggian dibandingkan obyek wisata perbukitan bantul bukit panguk kediwung dibuka tahun  salah lokasi mencuri hati pengunjung kota bukit panguk kediwung berlokasi kediwung mangunan dlingo bantul yogyakarta khawatir tersesat jalan lokasi papan petunjuk berjarak  km pusat kota yogyakarta pusat kota yogyakarta bergerak selatan tepatnya arah jalan imogiri timur ikuti jalan menemukan pasar imogiri belok kiri lanjutkan perjalanan arah dlingo petunjuk jalan bukit panguk kediwung akses jalan bukit panguk kediwung diaspal halus konturnya turun kategori aman disarankan kendaraan pribadi akses kendaraan umum sulit,6,100000,500000,AZose0mdcTiMjBf-odYTV4v0AnREqxlxw6QbgLQgjTmKDvDTOCyswBFvhdUatjhvMLPdQYmJUU9qZEQJ7D9Dd5T_tnGkzoRjwhOMc_GydgbQpxp-WtZTWWJBdzOhLEuvG03ysFXR3YqEB5z5uXINmHkm_AqNhfL_7jSFN9Hv8NP2QUHxvJbP,https://lh3.googleusercontent.com/places/ANJU3Dv_qglrg7F2CN4jIVY2_R1bzfC_jt0QoILpyF4gO_mjjLh6p3YjH8gvUY2kIHnCavjKWCY3F3u4T1LcBRq4Psz1vkov-L36Bfg=s1600-w1440-h810,"Kediwung, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia"
ChIJB2IjxZtXei4Rw1AMA1vnXV8,Kampung Wisata Dipowinatan,"Kampung Wisata Dipowinatan adalah sebuah kampung yang dikembangkan oleh Dinas Pariwisata Yogyakarta untuk tujuan pariwisata. Kampung tersebut merupakan salah satu dari 17 yang saat ini sedang dikembangkan oleh Pemerintah Kota Yogyakarta. Pepatnya, Kampung Dipowinatan terdapat di Kelurahan Keparakan, Kecamatan Mergangsan, Kota Yogyakarta. Keunggulan utama yang ditonjolkan oleh kampung itu adalah adanya konsep live in atau rekreasi yang berpadu dengan masyarakat sekitar sekaligus membaur dengan unsur budaya dan lokalitas masyarakat yang ada. Di dalam kampung tersebut, pengunjung akan disuguhi beberapa fasilitas unik seperti berkunjung ke rumah-rumah keluarga Jawa dengan mengenakan pakaian adat Jawa dan ditambah dengan adanya hiburan kesenian sekaligus sajian kuliner khas Jawa.",Budaya,Yogyakarta,220000,4,4.5,-7.8105529,110.3704987,kampung wisata dipowinatan budaya yogyakarta kampung wisata dipowinatan kampung dikembangkan dinas pariwisata yogyakarta tujuan pariwisata kampung salah  dikembangkan pemerintah kota yogyakarta pepatnya kampung dipowinatan kelurahan keparakan kecamatan mergangsan kota yogyakarta keunggulan utama ditonjolkan kampung konsep live in rekreasi berpadu masyarakat membaur unsur budaya lokalitas masyarakat kampung pengunjung disuguhi fasilitas unik berkunjung rumah-rumah keluarga jawa mengenakan pakaian adat jawa ditambah hiburan kesenian sajian kuliner khas jawa,7,100000,500000,AZose0kch3j_jCNP4_7NDFAzuE8R0jbTS2B_TnaAB1BdVSaWQiHt3TUF3kmPDU0Vc2w9EqsyRq6PMnc3UfBww7qb7PElYlPL14rmxhyHKgAkuDQnOwn2hVNr5ZphJs2uEZVZ4nqiUm631Ma7MX5RApmy63YZzn4-X_yAtwNRoE1eDdtQH6NP,https://lh3.googleusercontent.com/places/ANJU3DuZgTgBeGJ8WSfViiPrY-xQ3iczFnQAu9r6PhAbHX5_Pvnq2leYE8qVuZVYA3hErFBgqdpFSfKI-I25PGtKc_NEQFUx75rXHbU=s1600-w1600-h1600,"Jl. Dipowinatan MG 1 No.26, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152, Indonesia"
ChIJ-9JlAnxwei4R0SmxRv26nXM,Kampoeng Kopi Banaran,"Kampoeng Kopi Banaran, sebuah agro wisata perkebunan kopi di Kabupaten Semarang. Tempat wisata ini memiliki luas 462 hektar yang sebagian dijadikan resort dan tempat wisata. Lokasinya berada di Areal Perkebunan Kopi Kebun Getas Afdeling Assinan tepatnya Jl. Raya Semarang – Solo Km. 35. Lokasi Kampoeng Kopi Banaran yang berada di ketinggian 480 – 600m dpl membuat suhu udara disana sejuk antara 23ºC – 27ºC. Jadi cocok banget buat pelesir mencari udara dingin dan segar dengan pemandangan indah. Menghilangkan penat kesibukan Kota besar, di tengah perkebunan yang asri.",Taman Hiburan,Semarang,200000,4,4.3,-7.2539005,110.4414953,kampoeng kopi banaran taman hiburan semarang kampoeng kopi banaran agro wisata perkebunan kopi kabupaten semarang wisata memiliki luas  hektar dijadikan resort wisata lokasinya areal perkebunan kopi kebun getas afdeling assinan tepatnya jl raya semarang  solo km  lokasi kampoeng kopi banaran ketinggian   dpl suhu udara disana sejuk  cocok banget pelesir mencari udara dingin segar pemandangan indah menghilangkan penat kesibukan kota tengah perkebunan asri,8,100000,500000,AZose0m86EpYBAVU942zNlOsSfii0YIQc-HxikZJJQ36HQFZnbZw1ZSZwUZqQ0fvfoyommoOA9Knc1GSY6SeV9ukoWk8ZILeIzqMCmFdTY9E5YA_y1gPeyuH0I0tEExKPCp5RQ3hwtx1Qh0N930KbQe_8RK_nw9juegsQGciT5rMOJViizZB,https://lh3.googleusercontent.com/places/ANJU3Duqolqcouy-QqX1fQ2or0h2K_GRmlWYOb7hlbXaI63XKWmKp_O0n3mGAKP9dVS1ZgMW6eh0q1zYwBFTov0Xp13_hMobEhZocyM=s1600-w1080-h608,"Jl. Raya Bawen - Solo KM 1,5 Bawen, Gentong, Asinan, Kec. Bawen, Kabupaten Semarang, Jawa Tengah 50661, Indonesia"
ChIJtQCUlDYeai4RBl7pBSY0M74,Alive Museum Ancol,"Museum kini tidak hanya menawarkan benda – benda yang bernilai sejarah dan edukatif. Tapi telah disulap menjadi wahana rekreasi seru dengan objek foto yang berbeda. Seperti Alive Museum yang ada di Ancol. Alive Museum menampilkan berbagai seni rupa berupa lukisan 3 dimensi. Dimana pengunjung dapat berfoto dengan latar belakang yang nyata meski hanya dari foto. Dan karena 3 dimensi, tentu foto akan terlihat nyata dengan objeknya.",Taman Hiburan,Jakarta,200000,4,4.3,-6.1175344,106.857313,alive museum ancol taman hiburan jakarta museum menawarkan benda  benda bernilai sejarah edukatif disulap wahana rekreasi seru objek foto berbeda alive museum ancol alive museum menampilkan seni lukisan  dimensi dimana pengunjung berfoto latar foto  dimensi foto objeknya,9,100000,500000,AZose0mWyDkyaKkiw6ofc5A0RBe23Fb0UdLKFXwJYytWjVZlctnl9lF7973PTCOFmApglu2NTkxIAfqPkOYs10RyvvbUtShP_lFOgRQ2PXo4887gQSfLQNTwbuzCDwep90RXFL6XsxaGHu6j9CUkcIURyXTSgrsXbBVK0QKR5qB2CExI40o1,https://lh3.googleusercontent.com/places/ANJU3DvOORMkanc6o4xZYE8BmA8zl2l5r6AF6cuUi8Go2jHhDckMBcmN_ZqrDqeXTUWzwmiQay_-9WV6l8IFIBmttY3G_HO61DoAnAk=s1600-w1600-h1600,"Ancol Beach City Mall, 3rd Floor Jalan Ancol Beach City Pademangan, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia"
